Genes	description
Gm16404	predicted gene 16404
Zfp109	zinc finger protein 109
Gm8973	60S ribosomal protein L36 pseudogene
Gm19684	predicted gene, 19684
Gm11630	NA
Gm23841	NA
Gm23268	NA
Gm12497	predicted pseudogene 12497
Gm26646	NA
Sugp2	SURP and G patch domain containing 2
Cd19	CD19 antigen
Idh3b	isocitrate dehydrogenase 3 (NAD+) beta
Tex264	testis expressed gene 264 ER-phagy receptor
Gm11831	NA
Gm24495	predicted gene, 24495
Wdr5	WD repeat domain 5
Gm16104	predicted gene 16104
Hoxa3	homeobox A3
Angpt1	angiopoietin 1
Gm14176	ubiquitin-conjugating enzyme E2I pseudogene
Gm3106	NA
Gm26516	NA
Gm15127	predicted gene 15127
Gm15669	predicted gene 15669
Fpr3	formyl peptide receptor 3
Mon1b	MON1 homolog B, secretory traffciking associated
D630044L22Rik	RIKEN cDNA gene D630044L22 gene
Isy1	ISY1 splicing factor homolog
Gm24871	predicted gene, 24871
Lgals8	lectin, galactose binding, soluble 8
Tcrg-V3	NA
Gm21907	predicted gene, 21907
Xlr4a	X-linked lymphocyte-regulated 4A
Cd47	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)
4930577H14Rik	RIKEN cDNA 4930577H14 gene
Gm22215	predicted gene, 22215
E2f7	E2F transcription factor 7
Sarnp	SAP domain containing ribonucleoprotein
Gm26353	NA
Gm14686	eukaryotic translation initiation factor 1 pseudogene
Ntng2	netrin G2
Pin1rt1	peptidyl-prolyl cis/trans isomerase, NIMA-interacting 1, retrogene 1
Magea1	MAGE family member A1
Olfr1294	NA
Gm13229	60S acidic ribosomal protein P1 pseudogene
Jmjd4	jumonji domain containing 4
HOTTIP_1	NA
Gm15120	NA
Gm5457	ubiquinol-cytochrome c reductase binding protein pseudogene
AA474408	expressed sequence AA474408
C630004L07Rik	RIKEN cDNA C630004L07 gene
Gm13566	TBC1 domain family, member 15 pseudogene
Apbb1	amyloid beta precursor protein binding family B member 1
Foxn3	forkhead box N3
Gm23439	predicted gene, 23439
Gm6625	predicted gene 6625
Gm20497	NA
Gm15575	RNA binding motif protein 39 pseudogene
Ubn1	ubinuclein 1
4833427G06Rik	NA
Gm14500	NA
Ifitm7	interferon induced transmembrane protein 7
Gm6684	glutathione S-transferase kappa 1
Gm17662	NA
Gm15825	predicted gene 15825
Gm3512	predicted gene 3512
Spata5	NA
Atp13a4	ATPase type 13A4
Gm3835	predicted pseudogene 3835
4930519D14Rik	RIKEN cDNA 4930519D14 gene
Strn4	striatin, calmodulin binding protein 4
Prl6a1	prolactin family 6, subfamily a, member 1
Nelfb	negative elongation factor complex member B
Gm3015	predicted gene 3015
Mir500	microRNA 500
Mup6	major urinary protein 6
Gm11203	phosphoglycerate mutase 1 pseudogene
E130111B04Rik	RIKEN cDNA E130111B04 gene
4930544G11Rik	RIKEN cDNA 4930544G11 gene
Gm6096	predicted gene 6096
Gm10535	predicted gene 10535
Gm22093	NA
Gm22095	NA
Lrrc16a	NA
12-Sep	NA
Gm20781	predicted gene, 20781
Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit
Gm14205	NA
1110002J07Rik	RIKEN cDNA 1110002J07 gene
Pcdhb15	protocadherin beta 15
Rpl21-ps13	ribosomal protein L21-ps13
3110082I17Rik	RIKEN cDNA 3110082I17 gene
Pla2g7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)
Sidt2	SID1 transmembrane family, member 2
Taf9b	TATA-box binding protein associated factor 9B
Cd300lb	CD300 molecule like family member B
Gm20465	predicted gene 20465
E130309F12Rik	NA
Rnf126	ring finger protein 126
Gm17137	LAG1 homolog, ceramide synthase 2 pseudogene
Gm22559	predicted gene, 22559
1810020O05Rik	NA
Gm11835	NA
Syde1	synapse defective 1, Rho GTPase, homolog 1 (C. elegans)
Ercc4	excision repair cross-complementing rodent repair deficiency, complementation group 4
Gm14197	predicted gene 14197
Vmn2r38	vomeronasal 2, receptor 38
Elof1	ELF1 homolog, elongation factor 1
Gm24455	predicted gene, 24455
Scyl3	SCY1-like 3 (S. cerevisiae)
Gm24687	NA
Gm4149	ribosomal protein L37a pseudogene
Gm11127	NA
Ythdf2	YTH N6-methyladenosine RNA binding protein 2
Gm23208	NA
Swsap1	SWIM type zinc finger 7 associated protein 1
Gm24833	predicted gene, 24833
Psd3	pleckstrin and Sec7 domain containing 3
Psip1	PC4 and SFRS1 interacting protein 1
n-R5s141	nuclear encoded rRNA 5S 141
Gm5759	60S ribosomal protein L7a pseudogene
Sox2ot	SOX2 overlapping transcript (non-protein coding)
Slc38a9	solute carrier family 38, member 9
Gm22905	NA
Ccdc25	coiled-coil domain containing 25
A330074K22Rik	RIKEN cDNA A330074K22 gene
Cox5a	cytochrome c oxidase subunit 5A
Gm11568	NA
Mir425	microRNA 425
Gm6768	NA
Gm13601	predicted gene 13601
Zfp804a	zinc finger protein 804A
Ikbkb	inhibitor of kappaB kinase beta
Glcci1	glucocorticoid induced transcript 1
Il15ra	interleukin 15 receptor, alpha chain
Gm11380	60S ribosomal protein L17-like
Zfp322a	zinc finger protein 322A
Mir669k	microRNA 669k
Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1
n-R5s12	nuclear encoded rRNA 5S 12
Gm15005	NA
Gm12521	NA
Gm6465	predicted gene 6465
Tesc	tescalcin
3300002A11Rik	RIKEN cDNA 3300002A11 gene
RP24-399L6.2	NA
Gm17631	NA
Traj12	T cell receptor alpha joining 12
Med30	mediator complex subunit 30
Zc3h13	zinc finger CCCH type containing 13
Ubac2	ubiquitin associated domain containing 2
Ifrd1	interferon-related developmental regulator 1
Thrsp	thyroid hormone responsive
Slurp1	secreted Ly6/Plaur domain containing 1
Gm17100	NA
Qtrt1	queuine tRNA-ribosyltransferase catalytic subunit 1
Emc6	ER membrane protein complex subunit 6
Tpbg	trophoblast glycoprotein
Pla2g4c	phospholipase A2, group IVC (cytosolic, calcium-independent)
A330044P14Rik	NA
Slu7	SLU7 splicing factor homolog (S. cerevisiae)
Cyp2d37-ps	cytochrome P450, family 2, subfamily d, polypeptide 37, pseudogene
4921528I07Rik	RIKEN cDNA 4921528I07 gene
4930513O06Rik	RIKEN cDNA 4930513O06 gene
Gm8032	predicted gene 8032
B3gnt1	NA
Mir675	microRNA 675
Gm22238	NA
Rpl13-ps1	ribosomal protein L13, pseudogene 1
Gm22720	predicted gene, 22720
Cml1	NA
Pank1	pantothenate kinase 1
Gm9574	histocompatibility 2, T region pseudogene
Fdxacb1	ferredoxin-fold anticodon binding domain containing 1
Gm13243	tousled-like kinase 2 pseudogene
E030024N20Rik	RIKEN cDNA E030024N20 gene
1700123O12Rik	RIKEN cDNA 1700123O12 gene
Gm12813	predicted gene 12813
Cd5	CD5 antigen
Gm15757	NA
Art5	ADP-ribosyltransferase 5
Gm15284	NA
Zfp428	zinc finger protein 428
Gm25652	predicted gene, 25652
Zfyve19	zinc finger, FYVE domain containing 19
Snora26	small nucleolar RNA, H/ACA box 26
Trbv13-2	T cell receptor beta, variable 13-2
Gm26162	predicted gene, 26162
Gm12494	predicted gene 12494
Gm23224	NA
Olfr361	NA
Pum2	pumilio RNA-binding family member 2
Gm26327	predicted gene, 26327
Mir676	microRNA 676
Crbn	cereblon
Stxbp5l	syntaxin binding protein 5-like
Gm26923	predicted gene, 26923
Zc3h3	zinc finger CCCH type containing 3
Mir141	microRNA 141
Gm13518	NA
Gpr64	NA
Gm13058	predicted gene 13058
Ostf1	osteoclast stimulating factor 1
Rassf10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10
Gm16179	NA
Psapl1	prosaposin-like 1
Mtmr2	myotubularin related protein 2
Fign	fidgetin
Gm7925	predicted gene 7925
1810041L15Rik	NA
Gm10985	NA
Mfsd11	major facilitator superfamily domain containing 11
Maoa	monoamine oxidase A
Diras2	DIRAS family, GTP-binding RAS-like 2
Gm7583	predicted gene 7583
Gm15539	predicted gene 15539
Gm15502	NA
Cnot8	CCR4-NOT transcription complex, subunit 8
Stard9	StAR related lipid transfer domain containing 9
Upk3a	uroplakin 3A
Smarcc2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2
Gm14617	predicted gene 14617
Rpl35a-ps6	ribosomal protein L35A, pseudogene 6
Olfr666	NA
Paip2	polyadenylate-binding protein-interacting protein 2
Zfp934	zinc finger protein 934
Abcf1	ATP-binding cassette, sub-family F member 1
Gm14249	predicted gene 14249
Fam103a1	NA
Rpl9-ps7	ribosomal protein L9, pseudogene 7
Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8
Gm20646	predicted gene 20646
Ctcfl	CCCTC-binding factor like
Gm14710	predicted gene 14710
Hao2	hydroxyacid oxidase 2
Tenm4	teneurin transmembrane protein 4
Alox5	arachidonate 5-lipoxygenase
4933408N05Rik	RIKEN cDNA 4933408N05 gene
Ticam2	TIR domain containing adaptor molecule 2
Gm21245	predicted gene, 21245
Gm6999	predicted gene 6999
Vmn1r-ps111	vomeronasal 1 receptor, pseudogene 111
Gm24252	predicted gene, 24252
RP24-67I21.6	NA
Ywhaq	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
Gltp	glycolipid transfer protein
Gm6686	predicted pseudogene 6686
Tstd1	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1
Gm13257	predicted gene 13257
Phf11b	PHD finger protein 11B
Tlr11	toll-like receptor 11
Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13
Thap2	THAP domain containing, apoptosis associated protein 2
Gm10330	predicted gene 10330
Tiam2	T cell lymphoma invasion and metastasis 2
Ssx9	NA
Hivep2	human immunodeficiency virus type I enhancer binding protein 2
AI507597	expressed sequence AI507597
Pdxp	pyridoxal (pyridoxine, vitamin B6) phosphatase
Gm11881	NA
Hhat	hedgehog acyltransferase
9630041A04Rik	RIKEN cDNA 9630041A04 gene
Gm9062	mitochondrial ribosomal protein L10 pseudogene
Atp5g3	NA
Gm21917	predicted gene, 21917
Hsfy2	heat shock transcription factor, Y-linked 2
Olfr1247	NA
Gm5645	predicted pseudogene 5645
1700071M16Rik	RIKEN cDNA 1700071M16 gene
Gm5466	poly(A) binding protein, cytoplasmic 4 pseudogene
Gm4810	SNW domain containing 1 pseudogene
Cdk5r1	cyclin dependent kinase 5, regulatory subunit 1
Ptgr1	prostaglandin reductase 1
Mpp1	membrane protein, palmitoylated
Gm26473	predicted gene, 26473
Gm5963	40S ribosomal protein S21 pseudogene
Spag17	sperm associated antigen 17
Gm23745	predicted gene, 23745
Gm13227	NA
Gm13118	chromobox homolog 3 pseudogene
Dirc2	NA
Acot8	acyl-CoA thioesterase 8
Gm9104	ribosomal protein L21 pseudogene
Defb23	defensin beta 23
Gm12932	NA
Tor3a	torsin family 3, member A
Gm7982	NA
Eif3e	eukaryotic translation initiation factor 3, subunit E
Armc1	armadillo repeat containing 1
Slc25a51	solute carrier family 25, member 51
Gm14582	predicted gene 14582
Tnks1bp1	tankyrase 1 binding protein 1
Tmem98	transmembrane protein 98
Fam213a	NA
Gm12576	predicted gene 12576
Zfp366	zinc finger protein 366
Olfr749	NA
Dnm1	dynamin 1
Gm21837	NA
Gm25923	NA
Tnfrsf4	tumor necrosis factor receptor superfamily, member 4
Olfr1410	NA
Gm15803	60S ribosomal protein L31 pseudogene
Gm12094	60S ribosomal protein L23a pseudogene
Gm11575	NA
Gm27038	NA
Gm24760	predicted gene, 24760
Gm20873	predicted gene, 20873
Sf3b1	splicing factor 3b, subunit 1
Epyc	epiphycan
Celf4	CUGBP, Elav-like family member 4
Gm16184	ribosomal protein L14 pseudogene
Nphp3	nephronophthisis 3 (adolescent)
F8a	factor 8-associated gene A
Wdr36	WD repeat domain 36
Scgb2a2	secretoglobin, family 2A, member 2
Gm23667	NA
Gm12496	predicted gene 12496
Gm23913	NA
Gm26892	NA
Apobec1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
Olfr707	NA
Lce1e	late cornified envelope 1E
Fmnl1	formin-like 1
Gm14211	predicted gene 14211
Gemin8	gem nuclear organelle associated protein 8
Cyp26c1	cytochrome P450, family 26, subfamily c, polypeptide 1
4732463B04Rik	RIKEN cDNA 4732463B04 gene
RMST_6	NA
Gm6040	predicted gene 6040
Olfr868	NA
C330006D17Rik	NA
Ptx4	pentraxin 4
Gm5455	gem (nuclear organelle) associated protein 8 pseudogene
11-Sep	NA
Best2	bestrophin 2
9530053A07Rik	NA
Ndufs7	NADH:ubiquinone oxidoreductase core subunit S7
Syndig1l	synapse differentiation inducing 1 like
mmu-mir-7081	NA
Olfr98	NA
Cntn3	contactin 3
4930550C17Rik	RIKEN cDNA 4930550C17 gene
Scgb1b2	secretoglobin, family 1B, member 2
Pla2g2e	phospholipase A2, group IIE
Gm23964	NA
Gm15694	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7 (B14.5a), pseudogene
Cpn2	carboxypeptidase N, polypeptide 2
Gm15881	predicted gene 15881
Trim46	tripartite motif-containing 46
Gm26243	predicted gene, 26243
Gm12369	malate dehydrogenase 2, NAD (mitochondrial) pseudogene
Gcnt1	glucosaminyl (N-acetyl) transferase 1, core 2
Gm3931	predicted gene 3931
Gm5926	NA
4931400O07Rik	RIKEN cDNA 4931400O07 gene
Zfp229	zinc finger protein 229
Thy1	thymus cell antigen 1, theta
Pabpn1	poly(A) binding protein, nuclear 1
4933406P04Rik	RIKEN cDNA 4933406P04 gene
Gm25496	predicted gene, 25496
Gm13604	60S ribosomal protein L21 pseudogene
Gm6430	heterogeneous nuclear ribonucleoprotein F pseudogene
Olfr107	NA
Gm23624	NA
Mir3101	microRNA 3101
Scrt2	scratch family zinc finger 2
Gm26705	predicted gene, 26705
Dpagt1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
Dsg4	desmoglein 4
Gm26862	NA
Hbb-bh3	hemoglobin beta, pseudogene bh3
Rgs19	regulator of G-protein signaling 19
4930473D10Rik	RIKEN cDNA 4930473D10 gene
Sulf2	sulfatase 2
Mcoln1	mucolipin 1
Gm2862	PCNA-associated factor pseudogene
Gm26927	predicted gene, 26927
Triml1	tripartite motif family-like 1
Zfp72	zinc finger protein 72
Gm9578	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm22421	predicted gene, 22421
Fgf23	fibroblast growth factor 23
Actr8	ARP8 actin-related protein 8
Olfr584	NA
Tmem108	transmembrane protein 108
Klrb1f	killer cell lectin-like receptor subfamily B member 1F
Calr	calreticulin
1700057G04Rik	NA
H2-M10.2	histocompatibility 2, M region locus 10.2
Gm11194	NA
Clptm1	cleft lip and palate associated transmembrane protein 1
Gm11805	high mobility group box 3 pseudogene
mmu-mir-7648	NA
Gm10486	predicted gene 10486
Mir3471-1	microRNA 3471-1
Gm5732	glyceraldehyde-3-phosphate dehydrogenase pseudogene
Gm10420	predicted gene 10420
Gm14406	novel KRAB box and zinc finger, C2H2 type domain containing protein
Trav10d	T cell receptor alpha variable 10D
Nudcd1	NudC domain containing 1
Lrrfip2	leucine rich repeat (in FLII) interacting protein 2
5430401F13Rik	RIKEN cDNA 5430401F13 gene
Necap2	NECAP endocytosis associated 2
A630007B06Rik	NA
Gosr2	golgi SNAP receptor complex member 2
Cldn20	claudin 20
Plac8	placenta-specific 8
AF357428	snoRNA AF357428
Crtam	cytotoxic and regulatory T cell molecule
Gm10161	ribosomal protein S28 pseudogene
Rhox3c	reproductive homeobox 3C
E2f4	E2F transcription factor 4
2510003D18Rik	NA
Gm23632	NA
Olfr1096-ps1	NA
Ceacam5	CEA cell adhesion molecule 5
Gm11469	NA
Gm23759	NA
Zfp819	zinc finger protein 819
Vmn1r-ps93	vomeronasal 1 receptor, pseudogene 93
Gm13631	NA
1700030M09Rik	RIKEN cDNA 1700030M09 gene
Gm23105	predicted gene, 23105
Gm22043	predicted gene, 22043
Gm2420	predicted gene 2420
Trbv1	T cell receptor beta, variable 1
Gm24768	NA
Gm12282	NA
Dlx1	distal-less homeobox 1
Gm23602	predicted gene, 23602
Gm15266	predicted gene 15266
mmu-mir-6952	NA
Gm23623	predicted gene, 23623
Gm20694	NA
Smpd2	sphingomyelin phosphodiesterase 2, neutral
1700019O17Rik	NA
Olfr1258	NA
AI115009	expressed sequence AI115009
Gm14457	zinc finger protein 161 pseudogene
Myoz1	myozenin 1
Mir3075	microRNA 3075
Tnnc2	troponin C2, fast
Vmn1r43	vomeronasal 1 receptor 43
Gm22672	predicted gene, 22672
4930483J18Rik	RIKEN cDNA 4930483J18 gene
Xlr3b	X-linked lymphocyte-regulated 3B
Tmem247	transmembrane protein 247
Cmas	cytidine monophospho-N-acetylneuraminic acid synthetase
Speer4c	NA
5730422E09Rik	NA
RP24-113D21.1	NA
Ccdc17	coiled-coil domain containing 17
Zfp14	zinc finger protein 14
Dlk1	delta like non-canonical Notch ligand 1
Gm12687	non-SMC element 1 homolog pseudogene
Six2	sine oculis-related homeobox 2
Gm26073	NA
Cmklr1	chemerin chemokine-like receptor 1
Olfr1426	NA
Enpp7	ectonucleotide pyrophosphatase/phosphodiesterase 7
Mchr1	melanin-concentrating hormone receptor 1
Gm22322	predicted gene, 22322
Zfp583	zinc finger protein 583
Rab25	RAB25, member RAS oncogene family
Gm13167	predicted gene 13167
Cln3	CLN3 lysosomal/endosomal transmembrane protein, battenin
Ccnd2	cyclin D2
RP24-312B12.1	NA
Dsc1	desmocollin 1
Cd9	CD9 antigen
Atp5c1	NA
Cxcr1	C-X-C motif chemokine receptor 1
Dok4	docking protein 4
Gm20837	predicted gene, 20837
Olfr1131	NA
Nuf2	NUF2, NDC80 kinetochore complex component
Plekhm3	pleckstrin homology domain containing, family M, member 3
Gm12482	nascent polypeptide-associated complex alpha polypeptide pseudogene
Apoa1bp	NA
Gtf2f1	general transcription factor IIF, polypeptide 1
Gm14242	NA
Gm14804	predicted gene 14804
Gm12345	upstream transcription factor 1 pseudogene
Gm2018	predicted gene 2018
Gm24336	predicted gene, 24336
Cad	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
Mospd3	motile sperm domain containing 3
Rbpms	RNA binding protein gene with multiple splicing
Gm13587	NA
Mir5098	microRNA 5098
Hbb-bt	hemoglobin, beta adult t chain
Olfr1505	NA
Gm13670	NA
Srp68	signal recognition particle 68
Mtfr1	mitochondrial fission regulator 1
Gm14503	zinc finger protein 161 pseudogene
4930466F19RIK	NA
Slc7a10	solute carrier family 7 (cationic amino acid transporter, y+ system), member 10
Gm6427	replication factor C (activator 1) 4 pseudogene
Coq6	coenzyme Q6 monooxygenase
A130049A11Rik	NA
Trbj2-5	T cell receptor beta joining 2-5
Gm16480	voltage-dependent anion channel 1 pseudogene
Txnrd2	thioredoxin reductase 2
Fam183b	NA
Gm24651	predicted gene, 24651
Gm26553	predicted gene, 26553
Anapc15	anaphase promoting complex C subunit 15
Ebf1	early B cell factor 1
Vpreb3	V-set pre-B cell surrogate light chain 3
Fam83c	family with sequence similarity 83, member C
Ccnb2	cyclin B2
Serpina9	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9
D15Ertd621e	NA
Trpc7	transient receptor potential cation channel, subfamily C, member 7
Nespos	NA
Vsnl1	visinin-like 1
Wdr19	WD repeat domain 19
4933440N22Rik	RIKEN cDNA 4933440N22 gene
Rhox8	reproductive homeobox 8
Prdx2	peroxiredoxin 2
Sfrp2	secreted frizzled-related protein 2
Nln	neurolysin (metallopeptidase M3 family)
AC147101.1	NA
Gm13271	predicted gene 13271
Tmem256	transmembrane protein 256
Vmn2r15	vomeronasal 2, receptor 15
Ighv1-76	immunoglobulin heavy variable 1-76
Gm13258	NA
Gsdmcl1	gasdermin C-like 1
B9d1	B9 protein domain 1
Cbfa2t2-ps1	CBFA2/RUNX1 translocation partner 2, pseudogene 1
Nuak2	NUAK family, SNF1-like kinase, 2
Ear-ps2	eosinophil-associated, ribonuclease A family, pseudogene 2
Mir504	microRNA 504
Mrpl17	mitochondrial ribosomal protein L17
Gm26435	predicted gene, 26435
Opalin	oligodendrocytic myelin paranodal and inner loop protein
AC146604.1	NA
Hist1h3b	NA
Gm3981	NA
4930447C04Rik	RIKEN cDNA 4930447C04 gene
Gm7592	predicted gene 7592
Cd300e	CD300E molecule
C330013F16Rik	NA
Gm13230	NA
Gm20399	NA
Gm8420	ribosomal protein L15 pseudogene
Gm20492	predicted gene 20492
Ndst2	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 2
Olfr125	NA
Gm13278	predicted gene 13278
Gm13330	NA
Mecr	mitochondrial trans-2-enoyl-CoA reductase
Rag1	recombination activating 1
Gm12788	NA
Gm14099	ubiquitin-conjugating enzyme E2S pseudogene
Gm24633	NA
Trim13	tripartite motif-containing 13
4930550L24Rik	NA
Mir137	microRNA 137
Kdr	kinase insert domain protein receptor
Gm20918	predicted gene, 20918
Slc26a4	solute carrier family 26, member 4
Prss51	serine protease 51
Pth2r	parathyroid hormone 2 receptor
Vmn1r142	vomeronasal 1 receptor 142
Abhd12	abhydrolase domain containing 12
Gm14494	translocase of outer mitochondrial membrane 20 homolog pseudogene
Gm11809	PRP3 pre-mRNA processing factor 3 homolog pseudogene
Pld3	phospholipase D family member 3
A630073D07Rik	RIKEN cDNA A630073D07 gene
Tes	testin LIM domain protein
Rars2	arginyl-tRNA synthetase 2, mitochondrial
Il6st	interleukin 6 signal transducer
Rims2	regulating synaptic membrane exocytosis 2
Gm4345	NA
Sec16b	SEC16 homolog B, endoplasmic reticulum export factor
Vmn2r-ps72	vomeronasal 2, receptor, pseudogene 72
Gck	glucokinase
Tmem88b	transmembrane protein 88B
Tfap2b	transcription factor AP-2 beta
Tm6sf2	transmembrane 6 superfamily member 2
Adhfe1	alcohol dehydrogenase, iron containing, 1
Pcdh17	protocadherin 17
Dmtn	dematin actin binding protein
Zfr	zinc finger RNA binding protein
Padi2	peptidyl arginine deiminase, type II
Ptpn6	protein tyrosine phosphatase, non-receptor type 6
Uchl1os	ubiquitin carboxy-terminal hydrolase L1, opposite strand
Prrc1	proline-rich coiled-coil 1
Rhoh	ras homolog family member H
Gm1980	predicted gene 1980
Gm21209	predicted gene, 21209
Mir3473d	microRNA 3473d
mmu-mir-6362	NA
mmu-mir-6966	NA
Gm11507	ubiquitin-conjugating enzyme MHR6BN pseudogene
Olfr774	NA
Gm23802	NA
Gm12090	60S ribosomal protein L7-like
Asb9	ankyrin repeat and SOCS box-containing 9
Fkbp9	FK506 binding protein 9
Thra	thyroid hormone receptor alpha
Mir1981	microRNA 1981
Mrpl10	mitochondrial ribosomal protein L10
Gm16754	predicted gene, 16754
Sdr42e1	short chain dehydrogenase/reductase family 42E, member 1
Chst9	carbohydrate sulfotransferase 9
Celf3	CUGBP, Elav-like family member 3
Inhba	inhibin beta-A
Vmn1r64	vomeronasal 1 receptor 64
